 w      dos          err
-0.30   0.129186   0.000100
-0.30   0.128831   0.000100
-0.29   0.128505   0.000100
-0.28   0.128215   0.000100
-0.27   0.127876   0.000100
-0.26   0.127450   0.000100
-0.26   0.127263   0.000100
-0.25   0.126911   0.000100
-0.24   0.126615   0.000100
-0.23   0.126302   0.000100
-0.22   0.125970   0.000100
-0.22   0.125631   0.000100
-0.21   0.125341   0.000100
-0.20   0.124954   0.000100
-0.19   0.124584   0.000100
-0.18   0.124184   0.000100
-0.18   0.123686   0.000100
-0.17   0.123054   0.000100
-0.16   0.122176   0.000100
-0.15   0.120774   0.000100
-0.14   0.118053   0.000100
-0.14   0.110210   0.000100
-0.13   0.081763   0.000100
-0.12   0.064930   0.000100
-0.11   0.060785   0.000100
-0.10   0.059354   0.000100
-0.10   0.058774   0.000100
-0.09   0.058230   0.000100
-0.08   0.058694   0.000100
-0.07   0.058929   0.000100
-0.06   0.059266   0.000100
-0.06   0.059694   0.000100
-0.05   0.060116   0.000100
-0.04   0.060759   0.000100
-0.03   0.061384   0.000100
-0.02   0.062073   0.000100
-0.02   0.062847   0.000100
-0.01   0.063668   0.000100
 0.00   0.064597   0.000100
 0.01   0.065613   0.000100
 0.02   0.066729   0.000100
 0.02   0.067920   0.000100
 0.03   0.069323   0.000100
 0.04   0.070924   0.000100
 0.05   0.072699   0.000100
 0.06   0.074788   0.000100
 0.06   0.077219   0.000100
 0.07   0.080234   0.000100
 0.08   0.083986   0.000100
 0.09   0.089034   0.000100
 0.10   0.096364   0.000100
 0.10   0.107351   0.000100
 0.11   0.109089   0.000100
 0.12   0.095226   0.000100
 0.13   0.086244   0.000100
 0.14   0.079890   0.000100
 0.14   0.075071   0.000100
 0.15   0.071244   0.000100
 0.16   0.068045   0.000100
 0.17   0.065341   0.000100
 0.18   0.063010   0.000100
 0.18   0.060956   0.000100
 0.19   0.059175   0.000100
 0.20   0.057556   0.000100
 0.21   0.056066   0.000100
 0.22   0.054758   0.000100
 0.22   0.053545   0.000100
 0.23   0.052430   0.000100
 0.24   0.051412   0.000100
 0.25   0.050436   0.000100
 0.26   0.049422   0.000100
 0.26   0.048208   0.000100
 0.27   0.047929   0.000100
 0.28   0.047209   0.000100
 0.29   0.046518   0.000100
 0.30   0.045850   0.000100
 0.30   0.045229   0.000100
 0.31   0.044636   0.000100
 0.32   0.044059   0.000100
 0.33   0.043508   0.000100
 0.34   0.042982   0.000100
 0.34   0.042487   0.000100
 0.35   0.041985   0.000100
 0.36   0.041527   0.000100
 0.37   0.041092   0.000100
 0.38   0.040649   0.000100
