 w      dos          err
 0.19   0.195405   0.000019
 0.20   0.184080   0.000018
 0.22   0.174188   0.000017
 0.23   0.165615   0.000016
 0.25   0.158268   0.000016
 0.26   0.152196   0.000015
 0.28   0.147471   0.000015
 0.29   0.144248   0.000014
 0.31   0.142807   0.000014
 0.32   0.143433   0.000014
 0.34   0.145217   0.000013
 0.35   0.138540   0.000013
 0.37   0.166517   0.000016
 0.38   0.343539   0.000034
 0.40   0.778114   0.000076
 0.41   0.935390   0.000091
 0.43   1.003353   0.000098
 0.44   1.069311   0.000106
 0.46   1.154098   0.000115
 0.47   1.275874   0.000127
 0.49   1.465784   0.000147
 0.50   1.572342   0.000156
 0.52   1.351791   0.000134
 0.53   1.176589   0.000117
 0.55   1.043318   0.000104
 0.56   0.931070   0.000092
 0.58   0.828474   0.000082
 0.59   0.731786   0.000072
 0.61   0.647101   0.000064
 0.62   0.582314   0.000057
 0.64   0.537057   0.000053
 0.65   0.505898   0.000050
 0.67   0.483014   0.000048
 0.68   0.459963   0.000046
 0.70   0.431243   0.000043
 0.71   0.423377   0.000042
 0.73   0.423248   0.000042
 0.74   0.425717   0.000043
 0.76   0.429485   0.000043
 0.77   0.434179   0.000043
 0.79   0.439646   0.000044
 0.80   0.445830   0.000044
 0.82   0.452774   0.000045
 0.83   0.460529   0.000046
 0.85   0.469215   0.000047
 0.86   0.479044   0.000048
 0.88   0.490287   0.000049
 0.89   0.503416   0.000050
 0.91   0.519174   0.000052
 0.92   0.538943   0.000054
 0.94   0.565313   0.000056
 0.95   0.604104   0.000060
 0.97   0.639222   0.000064
 0.98   0.604945   0.000060
 1.00   0.575965   0.000057
 1.02   0.556651   0.000056
 1.03   0.542419   0.000054
 1.05   0.531178   0.000053
 1.06   0.521838   0.000052
 1.08   0.513770   0.000051
 1.09   0.506773   0.000051
 1.11   0.500419   0.000050
 1.12   0.494702   0.000049
 1.14   0.489367   0.000049
 1.15   0.484507   0.000048
 1.17   0.479923   0.000048
 1.18   0.475564   0.000048
 1.20   0.471503   0.000047
 1.21   0.467609   0.000047
 1.23   0.463892   0.000046
 1.24   0.460325   0.000046
 1.26   0.456912   0.000046
 1.27   0.453627   0.000045
 1.29   0.450451   0.000045
 1.30   0.447353   0.000045
 1.32   0.444382   0.000044
 1.33   0.441507   0.000044
 1.35   0.438688   0.000044
 1.36   0.435962   0.000044
 1.38   0.433296   0.000043
 1.39   0.430708   0.000043
 1.41   0.428175   0.000043
 1.42   0.425682   0.000043
 1.44   0.423281   0.000042
 1.45   0.420907   0.000042
 1.47   0.418601   0.000042
 1.48   0.416319   0.000042
 1.50   0.414082   0.000041
 1.51   0.411902   0.000041
 1.53   0.409762   0.000041
 1.54   0.407587   0.000041
 1.56   0.405574   0.000041
 1.57   0.403506   0.000040
 1.59   0.401548   0.000040
 1.60   0.399435   0.000040
 1.62   0.397638   0.000040
 1.63   0.395741   0.000040
 1.65   0.393830   0.000039
 1.66   0.392018   0.000039
 1.68   0.390115   0.000039
 1.69   0.388390   0.000039
 1.71   0.386619   0.000039
 1.72   0.384869   0.000038
 1.74   0.383151   0.000038
 1.75   0.381443   0.000038
 1.77   0.379771   0.000038
 1.78   0.378113   0.000038
 1.80   0.376473   0.000038
 1.81   0.374862   0.000037
 1.83   0.373259   0.000037
 1.84   0.371685   0.000037
 1.86   0.370118   0.000037
 1.87   0.368573   0.000037
 1.89   0.367068   0.000037
 1.90   0.365557   0.000037
 1.92   0.364071   0.000036
 1.93   0.362596   0.000036
 1.95   0.361136   0.000036
 1.96   0.359694   0.000036
 1.98   0.358277   0.000036
 1.99   0.356867   0.000036
 2.01   0.355460   0.000035
 2.02   0.354083   0.000035
 2.04   0.352706   0.000035
 2.05   0.351364   0.000035
 2.07   0.350009   0.000035
 2.08   0.348682   0.000035
 2.10   0.347359   0.000035
